   19200. 0.6992  3.1  6.8 0.40 0.10660 -0.05090  0.03468  2.79461    -171.7435   0.8662E-05  -0.0000E+00   0.2303E-02   0.4361E-02  -0.1159E-03   0.1017E-03   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.5704E-02     0.3281E-02
   19800. 0.6992  3.1  6.8 0.40 0.10228 -0.05334  0.03841  2.76494    -171.7242   0.8925E-05  -0.0000E+00   0.2441E-02   0.4598E-02  -0.1250E-03   0.1158E-03   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.5980E-02     0.3298E-02
   20400. 0.6992  3.1  6.8 0.40 0.10008 -0.05607  0.04251  2.79259    -171.7047   0.9188E-05  -0.0000E+00   0.2572E-02   0.4833E-02  -0.1345E-03   0.1311E-03   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.6254E-02     0.3373E-02
   21000. 0.6992  3.1  6.8 0.40 0.09789 -0.05811  0.04623  2.80249    -171.6852   0.9446E-05  -0.0000E+00   0.2697E-02   0.5069E-02  -0.1443E-03   0.1478E-03   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.6525E-02     0.3430E-02
   21600. 0.6992  3.1  6.8 0.40 0.09347 -0.06096  0.05102  2.76911    -171.6656   0.9706E-05  -0.0000E+00   0.2816E-02   0.5305E-02  -0.1539E-03   0.1658E-03   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.6794E-02     0.3437E-02
   22200. 0.6992  3.1  6.8 0.40 0.09363 -0.06267  0.05475  2.83424    -171.6461   0.9960E-05  -0.0000E+00   0.2926E-02   0.5543E-02  -0.1649E-03   0.1861E-03   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.7061E-02     0.3554E-02
   22800. 0.6992  3.1  6.8 0.40 0.08776 -0.06459  0.05912  2.73071    -171.6267   0.1021E-04  -0.0000E+00   0.3028E-02   0.5783E-02  -0.1727E-03   0.2046E-03   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.7328E-02     0.3477E-02
   23400. 0.6992  3.1  6.8 0.40 0.08861 -0.06718  0.06432  2.83877    -171.6075   0.1047E-04  -0.0000E+00   0.3120E-02   0.6026E-02  -0.1860E-03   0.2307E-03   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.7594E-02     0.3649E-02
   24000. 0.6992  3.1  6.8 0.40 0.07884 -0.07711  0.08025  2.78198    -171.5885   0.1075E-04  -0.0000E+00   0.3202E-02   0.6274E-02  -0.2130E-03   0.2785E-03   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.7859E-02     0.3721E-02
   24600. 0.6992  3.1  6.8 0.40 0.08162 -0.07500  0.07973  2.85067    -171.5697   0.1098E-04  -0.0000E+00   0.3275E-02   0.6528E-02  -0.2231E-03   0.3042E-03   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.8124E-02     0.3826E-02
